Symptom1,Symptom2,Remedies_S1,Remedies_S2,Shared_Remedies,P_B_given_A,P_A_given_B
bruised pain in thighs in morning,knee pain better by warmth of bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,pains in superior maxilla bones,1,1,1,1.0,1.0
bruised pain in thighs in morning,pains in shoulder when dressing in morning,1,1,1,1.0,1.0
bruised pain in thighs in morning,foot pain worse in open air,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in occiput,1,1,1,1.0,1.0
bruised pain in thighs in morning,prosopalgia,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing in forearms,1,1,1,1.0,1.0
bruised pain in thighs in morning,stiffness worse on rising from chair,1,1,1,1.0,1.0
bruised pain in thighs in morning,knee pain worse in open air,1,1,1,1.0,1.0
bruised pain in thighs in morning,tendons of knees seem too short,1,1,1,1.0,1.0
bruised pain in thighs in morning,bruised pain in legs in morning,1,1,1,1.0,1.0
bruised pain in thighs in morning,cannot move fingers by will power,1,1,1,1.0,1.0
bruised pain in thighs in morning,stitches in teeth,1,1,1,1.0,1.0
bruised pain in thighs in morning,stitches in sternum from lifting,1,1,1,1.0,1.0
bruised pain in thighs in morning,cracking in knees on walking,1,1,1,1.0,1.0
bruised pain in thighs in morning,paralysis of hands,1,1,1,1.0,1.0
bruised pain in thighs in morning,pinching crampy pain in lumbar region,1,1,1,1.0,1.0
bruised pain in thighs in morning,knee pain better from continual motion,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in ankle when sitting,1,1,1,1.0,1.0
bruised pain in thighs in morning,stiffness in hollow of knee,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing pain to ear,1,1,1,1.0,1.0
bruised pain in thighs in morning,swelling of small joints of foot,1,1,1,1.0,1.0
bruised pain in thighs in morning,knee pain worse when sitting,1,1,1,1.0,1.0
bruised pain in thighs in morning,foot pain better by warmth of bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in throat,1,1,1,1.0,1.0
bruised pain in thighs in morning,severe pressive pain in ball of great toe,1,1,1,1.0,1.0
bruised pain in thighs in morning,elbow pain worse from warmth,1,1,1,1.0,1.0
bruised pain in thighs in morning,stitches in sternum from deep breathing,1,1,1,1.0,1.0
bruised pain in thighs in morning,gouty tearing in lower leg,1,1,1,1.0,1.0
bruised pain in thighs in morning,thigh pain worse in open air,1,1,1,1.0,1.0
bruised pain in thighs in morning,tensive pain in hollow of knee,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing in teeth,1,1,1,1.0,1.0
bruised pain in thighs in morning,bruised pain in os coccyx,1,1,1,1.0,1.0
bruised pain in thighs in morning,aching in hip joints as if dislocated,1,1,1,1.0,1.0
bruised pain in thighs in morning,indurations of finger tendons,1,1,1,1.0,1.0
bruised pain in thighs in morning,weakness in single parts,1,1,1,1.0,1.0
bruised pain in thighs in morning,shoulder pain preventing motion,1,1,1,1.0,1.0
bruised pain in thighs in morning,painful numbness of thumb,1,1,1,1.0,1.0
bruised pain in thighs in morning,gout in hands,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing in shoulder blades,1,1,1,1.0,1.0
bruised pain in thighs in morning,sprained pain in back,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,occasional jerking toward hip joint,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,redness of feet,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,stitches from shoulder to elbow,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,enlarged lymphatic glands,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,cracking in right shoulder joint from motion,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,neuralgia of teeth,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,chronic rheumatic affections,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,sprained pain in left metatarsal bones,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,cracking of joints after inflammation,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,stabbing piercing pain in metatarsal bones when walking,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,inability to walk,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,dislocated pain in right loin,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,pains returning at regular intervals,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,shoulder pain worse during damp cold weather,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,shoulder pain worse after midnight,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,inflammation of left sciatic nerve from cold exposure,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,belching improves symptoms,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,severe stitches from shoulder to elbow,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,severe pains in hips,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,tearing in all limbs,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,slight fever or absent fever,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,jerking pains,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,stitches from shoulder to wrist,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,pain in loins,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,bruised pain in soles,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,dislocated pain in right knee,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,difficult breathing,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,movements impeded,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,quick recovery from acute articular manifestations,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,frequent exacerbations,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,shoulder pain with every weather change,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,chronic sciatica in right leg,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,tensive feeling in small of back,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,jerking stitches in right shoulder,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,chronic rheumatism with frequent attacks,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,belching of sour flatus,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,hot expiration,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,severe pains from slightest motion,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,cracking in ankle joint,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,flying pains,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,jerking stitching pains in limbs,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,sensation as if heavy load on back between shoulders,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,jerking flying stitches in wrists,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,jerking flying stitches in finger joints,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,rheumatism lingers and relapses regularly,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,tearing pain in right elbow,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,small of back pain worse by going upstairs,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,severe pains in knees,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,rheumatic pains in neck,1,1,1,1.0,1.0
gouty swellings without gouty dyscrasia,violent headache,1,1,1,1.0,1.0
heaviness in nape muscles,severe pains under left scapula,1,1,1,1.0,1.0
heaviness in nape muscles,violent pain under seventh rib,1,1,1,1.0,1.0
heaviness in nape muscles,stiffness of right knee,1,1,1,1.0,1.0
heaviness in nape muscles,tearing in metacarpal bones,1,1,1,1.0,1.0
heaviness in nape muscles,limbs feel stiff,1,1,1,1.0,1.0
heaviness in nape muscles,coldness of left arm,1,1,1,1.0,1.0
heaviness in nape muscles,pain behind sternum,1,1,1,1.0,1.0
heaviness in nape muscles,oedema,1,1,1,1.0,1.0
heaviness in nape muscles,sensation as if lower lumbar vertebrae would separate,1,1,1,1.0,1.0
heaviness in nape muscles,bitter taste when drinking,1,1,1,1.0,1.0
heaviness in nape muscles,violent pain in knee,1,1,1,1.0,1.0
heaviness in nape muscles,vertebrae separation sensation on stooping,1,1,1,1.0,1.0
heaviness in nape muscles,sensation as if abdomen constricted with string,1,1,1,1.0,1.0
heaviness in nape muscles,violent tearing pains in limbs,1,1,1,1.0,1.0
heaviness in nape muscles,ankle hardest on inner side,1,1,1,1.0,1.0
heaviness in nape muscles,neck feels as if broken,1,1,1,1.0,1.0
heaviness in nape muscles,pulse full,1,1,1,1.0,1.0
heaviness in nape muscles,thorax stitches worse on inspiration,1,1,1,1.0,1.0
heaviness in nape muscles,pain in cervical muscles,1,1,1,1.0,1.0
heaviness in nape muscles,limbs feel heavy,1,1,1,1.0,1.0
heaviness in nape muscles,hands hot,1,1,1,1.0,1.0
heaviness in nape muscles,drawing in occiput,1,1,1,1.0,1.0
heaviness in nape muscles,stiffness of wrists,1,1,1,1.0,1.0
heaviness in nape muscles,drawing in nape,1,1,1,1.0,1.0
heaviness in nape muscles,paralytic pain in left shoulder,1,1,1,1.0,1.0
heaviness in nape muscles,hip pain extends to feet,1,1,1,1.0,1.0
heaviness in nape muscles,thorax stitches worse on motion,1,1,1,1.0,1.0
heaviness in nape muscles,pain in right clavicle,1,1,1,1.0,1.0
heaviness in nape muscles,rheumatic troubles about chest,1,1,1,1.0,1.0
heaviness in nape muscles,sensation of sand in eye,1,1,1,1.0,1.0
heaviness in nape muscles,urine dark yellow,1,1,1,1.0,1.0
heaviness in nape muscles,oedema from venous congestion,1,1,1,1.0,1.0
heaviness in nape muscles,violent tearing pains in back,1,1,1,1.0,1.0
heaviness in nape muscles,pain under right shoulder blade,1,1,1,1.0,1.0
heaviness in nape muscles,stiffness of right neck muscles,1,1,1,1.0,1.0
heaviness in nape muscles,sole cramps worse by putting foot down,1,1,1,1.0,1.0
heaviness in nape muscles,hip pain worse on right side,1,1,1,1.0,1.0
heaviness in nape muscles,severe pain in spine between shoulders,1,1,1,1.0,1.0
heaviness in nape muscles,amaurosis from rheumatic troubles,1,1,1,1.0,1.0
heaviness in nape muscles,anxious,1,1,1,1.0,1.0
heaviness in nape muscles,sensation as if weights hung on right leg,1,1,1,1.0,1.0
heaviness in nape muscles,lancinating pains in pectoral muscles,1,1,1,1.0,1.0
heaviness in nape muscles,head drawn to left,1,1,1,1.0,1.0
heaviness in nape muscles,stitches in right side of chest,1,1,1,1.0,1.0
heaviness in nape muscles,pressing pain beneath right scapula,1,1,1,1.0,1.0
heaviness in nape muscles,pain across umbilicus,1,1,1,1.0,1.0
heaviness in nape muscles,rose-red elastic swelling,1,1,1,1.0,1.0
heaviness in nape muscles,fingertips cold,1,1,1,1.0,1.0
heaviness in nape muscles,violent pain in popliteal space,1,1,1,1.0,1.0
heaviness in nape muscles,tightness of chest,1,1,1,1.0,1.0
heaviness in nape muscles,urine milky,1,1,1,1.0,1.0
heaviness in nape muscles,foot oedematous,1,1,1,1.0,1.0
heaviness in nape muscles,associated with hepatic affections,1,1,1,1.0,1.0
heaviness in nape muscles,yellow nose,1,1,1,1.0,1.0
heaviness in nape muscles,cutting pains in arms,1,1,1,1.0,1.0
heaviness in nape muscles,shoulder pain from scapula,1,1,1,1.0,1.0
heaviness in nape muscles,rheumatic troubles about abdomen,1,1,1,1.0,1.0
heaviness in nape muscles,left half of neck stiff,1,1,1,1.0,1.0
heaviness in nape muscles,pressure extending to neck,1,1,1,1.0,1.0
heaviness in nape muscles,pulse hard,1,1,1,1.0,1.0
heaviness in nape muscles,hip pain extends to legs,1,1,1,1.0,1.0
heaviness in nape muscles,paralytic pain in left arm,1,1,1,1.0,1.0
heaviness in nape muscles,tongue thickly coated yellow,1,1,1,1.0,1.0
heaviness in nape muscles,intellect dull,1,1,1,1.0,1.0
heaviness in nape muscles,swelling of elbows,1,1,1,1.0,1.0
heaviness in nape muscles,vertebrae soreness worse by motion,1,1,1,1.0,1.0
heaviness in nape muscles,antidotes bryonia,1,1,1,1.0,1.0
heaviness in nape muscles,constant pain under right scapula,1,1,1,1.0,1.0
heaviness in nape muscles,bitter taste when eating,1,1,1,1.0,1.0
heaviness in nape muscles,rose-coloured elastic swelling of ankle joints,1,1,1,1.0,1.0
heaviness in nape muscles,finger pain worse by pressure,1,1,1,1.0,1.0
heaviness in nape muscles,pain over elbow joint,1,1,1,1.0,1.0
heaviness in nape muscles,burning in right knee,1,1,1,1.0,1.0
heaviness in nape muscles,patient sensitive to touch,1,1,1,1.0,1.0
heaviness in nape muscles,face yellow,1,1,1,1.0,1.0
heaviness in nape muscles,yellow forehead,1,1,1,1.0,1.0
heaviness in nape muscles,pain extends into chest,1,1,1,1.0,1.0
heaviness in nape muscles,stiffness of cervical muscles,1,1,1,1.0,1.0
