### Cluster 50 — Symptoms (107)
Symptom,Frequency
leg stiffness especially on first beginning to walk,fingers drawn out of shape,1.0,1
leg stiffness especially on first beginning to walk,drawing in shafts of bones,1.0,1
leg stiffness especially on first beginning to walk,drawing pain in back,1.0,1
leg stiffness especially on first beginning to walk,drawing in joints of fingers,1.0,1
leg stiffness especially on first beginning to walk,burning about hips,1.0,1
leg stiffness especially on first beginning to walk,stitches in right great toe,1.0,1
leg stiffness especially on first beginning to walk,pinching pressing pain in lower spine,1.0,1
leg stiffness especially on first beginning to walk,tearing beneath hip,1.0,1
leg stiffness especially on first beginning to walk,spine is bent,1.0,1
leg stiffness especially on first beginning to walk,toe pain worse when walking,1.0,1
leg stiffness especially on first beginning to walk,pressing pain beneath coccyx,1.0,1
leg stiffness especially on first beginning to walk,roughness of voice,1.0,1
leg stiffness especially on first beginning to walk,tension in knees on waking,1.0,1
leg stiffness especially on first beginning to walk,boring in fingers,1.0,1
leg stiffness especially on first beginning to walk,burning in thigh,1.0,1
leg stiffness especially on first beginning to walk,rheumatic drawing in back,1.0,1
leg stiffness especially on first beginning to walk,stitches in patella on rising,1.0,1
leg stiffness especially on first beginning to walk,burning on right shoulder,1.0,1
leg stiffness especially on first beginning to walk,toes stinging,1.0,1
leg stiffness especially on first beginning to walk,drawing rheumatic pains in right shoulder,1.0,1
leg stiffness especially on first beginning to walk,tearing in hip,1.0,1
leg stiffness especially on first beginning to walk,voice almost fails at times,1.0,1
leg stiffness especially on first beginning to walk,sensation as if tendons of wrist were shortened,1.0,1
leg stiffness especially on first beginning to walk,pains at every weather change,1.0,1
leg stiffness especially on first beginning to walk,sensation of stiffness in legs after sleep in evening,1.0,1
leg stiffness especially on first beginning to walk,prickling stitches in joints of fingers,1.0,1
leg stiffness especially on first beginning to walk,cold knees,1.0,1
leg stiffness especially on first beginning to walk,shoulder pain worse from motion,1.0,1
leg stiffness especially on first beginning to walk,tearing in right hip,1.0,1
leg stiffness especially on first beginning to walk,drawing in arm on which he lies at night,1.0,1
leg stiffness especially on first beginning to walk,boring pains in limbs,1.0,1
leg stiffness especially on first beginning to walk,pressing cramp-like pain in small of back,1.0,1
leg stiffness especially on first beginning to walk,stitches in shoulders,1.0,1
leg stiffness especially on first beginning to walk,lancinating pain in wrists when grasping,1.0,1
leg stiffness especially on first beginning to walk,sensation of plug in back,1.0,1
leg stiffness especially on first beginning to walk,sensation as if tendons of hand were shortened,1.0,1
leg stiffness especially on first beginning to walk,sprained pain in right hand,1.0,1
leg stiffness especially on first beginning to walk,back pain worse on sitting,1.0,1
leg stiffness especially on first beginning to walk,drawing in thigh,1.0,1
leg stiffness especially on first beginning to walk,lack of strength in knees,1.0,1
leg stiffness especially on first beginning to walk,cramp-like pain on outside of left thigh,1.0,1
leg stiffness especially on first beginning to walk,knees go to sleep,1.0,1
leg stiffness especially on first beginning to walk,pain in joints of hands,1.0,1
leg stiffness especially on first beginning to walk,drawing pain from abdomen down into leg,1.0,1
leg stiffness especially on first beginning to walk,great depression of vital forces,1.0,1
leg stiffness especially on first beginning to walk,arms weary when writing,1.0,1
leg stiffness especially on first beginning to walk,burning in fingers,1.0,1
leg stiffness especially on first beginning to walk,limbs go to sleep,1.0,1
leg stiffness especially on first beginning to walk,burning in bones,1.0,1
leg stiffness especially on first beginning to walk,heartburn very persistent,1.0,1
leg stiffness especially on first beginning to walk,thigh stitches passing downward when walking,1.0,1
leg stiffness especially on first beginning to walk,stiffness of nape,1.0,1
leg stiffness especially on first beginning to walk,paralytic weakness of right shoulder,1.0,1
leg stiffness especially on first beginning to walk,great inclination to stretch limbs in evening,1.0,1
leg stiffness especially on first beginning to walk,stitches in thigh,1.0,1
leg stiffness especially on first beginning to walk,limbs are bruised,1.0,1
leg stiffness especially on first beginning to walk,severe nosebleed almost daily,1.0,1
leg stiffness especially on first beginning to walk,toes red,1.0,1
leg stiffness especially on first beginning to walk,hip pain extending to thigh,1.0,1
leg stiffness especially on first beginning to walk,painful sensation as if hat band were too tight,1.0,1
leg stiffness especially on first beginning to walk,tearing in fingers of left hand,1.0,1
leg stiffness especially on first beginning to walk,bone pain painful on pressure,1.0,1
leg stiffness especially on first beginning to walk,complementary with kali carb.,1.0,1
pains at every weather change,burning in limbs,1.0,1
pains at every weather change,rheumatic drawing from loins to coccyx,1.0,1
pains at every weather change,drawing tearing in left arm from elbow to hand,1.0,1
pains at every weather change,hip pain extending to sacrum,1.0,1
pains at every weather change,prickling stitches in fingers,1.0,1
pains at every weather change,toes swollen,1.0,1
pains at every weather change,hand pain worse in windy weather,1.0,1
pains at every weather change,shoulder pain worse in morning,1.0,1
pains at every weather change,tension in thigh in morning,1.0,1
pains at every weather change,pains when beginning to walk,1.0,1
pains at every weather change,prostrated with rheumatic pains,1.0,1
pains at every weather change,great hoarseness,1.0,1
pains at every weather change,drawing in limbs,1.0,1
pains at every weather change,sense of constriction in thigh,1.0,1
pains at every weather change,elbow pain worse by touch,1.0,1
pains at every weather change,tearing in right thigh,1.0,1
pains at every weather change,burning about scapulae,1.0,1
pains at every weather change,cold limbs,1.0,1
pains at every weather change,left thigh pain when lifting it,1.0,1
pains at every weather change,stitches in ankle joint,1.0,1
pains at every weather change,paralytic weakness of right arm,1.0,1
pains at every weather change,cramps in calves at night,1.0,1
pains at every weather change,stiffness of thigh on standing,1.0,1
pains at every weather change,tearing in either wrist,1.0,1
pains at every weather change,pain in scapular region,1.0,1
pains at every weather change,patients with lost vital forces from fluid loss,1.0,1
pains at every weather change,back pain worse on stooping,1.0,1
pains at every weather change,burning in joints of fingers,1.0,1
pains at every weather change,cramp-like tension in shoulders,1.0,1
pains at every weather change,drawing pain in nape up into head,1.0,1
pains at every weather change,unable to sit,1.0,1
pains at every weather change,cramps in lower leg when walking,1.0,1
pains at every weather change,limbs go to sleep easily,1.0,1
pains at every weather change,leg stiffness especially on first beginning to walk,1.0,1
pains at every weather change,aching along spine,1.0,1
pains at every weather change,paralytic pains in knees,1.0,1
pains at every weather change,drawing pain in hip joints,1.0,1
pains at every weather change,hat band sensation remains after hat removed,1.0,1
pains at every weather change,bruised pain in elbow joints,1.0,1
pains at every weather change,stiffness of back,1.0,1
pains at every weather change,aching pain from loins to coccyx,1.0,1
pains at every weather change,cramps in soles evenings after lying down,1.0,1
pains at every weather change,burning on scapula,1.0,1
pains at every weather change,boring in joints of fingers,1.0,1
pains at every weather change,fingers drawn out of shape,1.0,1
pains at every weather change,drawing in shafts of bones,1.0,1
pains at every weather change,drawing pain in back,1.0,1
pains at every weather change,drawing in joints of fingers,1.0,1
pains at every weather change,burning about hips,1.0,1
pains at every weather change,stitches in right great toe,1.0,1
pains at every weather change,pinching pressing pain in lower spine,1.0,1
pains at every weather change,tearing beneath hip,1.0,1
pains at every weather change,spine is bent,1.0,1
pains at every weather change,toe pain worse when walking,1.0,1
pains at every weather change,pressing pain beneath coccyx,1.0,1
pains at every weather change,roughness of voice,1.0,1
pains at every weather change,tension in knees on waking,1.0,1
pains at every weather change,boring in fingers,1.0,1
pains at every weather change,burning in thigh,1.0,1
pains at every weather change,rheumatic drawing in back,1.0,1
pains at every weather change,stitches in patella on rising,1.0,1
pains at every weather change,burning on right shoulder,1.0,1
pains at every weather change,toes stinging,1.0,1
pains at every weather change,drawing rheumatic pains in right shoulder,1.0,1
pains at every weather change,tearing in hip,1.0,1
pains at every weather change,voice almost fails at times,1.0,1
pains at every weather change,sensation as if tendons of wrist were shortened,1.0,1
pains at every weather change,sensation of stiffness in legs after sleep in evening,1.0,1
pains at every weather change,prickling stitches in joints of fingers,1.0,1
pains at every weather change,cold knees,1.0,1
pains at every weather change,shoulder pain worse from motion,1.0,1
pains at every weather change,tearing in right hip,1.0,1
pains at every weather change,drawing in arm on which he lies at night,1.0,1
pains at every weather change,boring pains in limbs,1.0,1
pains at every weather change,pressing cramp-like pain in small of back,1.0,1
pains at every weather change,stitches in shoulders,1.0,1
pains at every weather change,lancinating pain in wrists when grasping,1.0,1
pains at every weather change,sensation of plug in back,1.0,1
pains at every weather change,sensation as if tendons of hand were shortened,1.0,1
pains at every weather change,sprained pain in right hand,1.0,1
pains at every weather change,back pain worse on sitting,1.0,1
pains at every weather change,drawing in thigh,1.0,1
pains at every weather change,lack of strength in knees,1.0,1
pains at every weather change,cramp-like pain on outside of left thigh,1.0,1
pains at every weather change,knees go to sleep,1.0,1
pains at every weather change,pain in joints of hands,1.0,1
pains at every weather change,drawing pain from abdomen down into leg,1.0,1
pains at every weather change,great depression of vital forces,1.0,1
pains at every weather change,arms weary when writing,1.0,1
pains at every weather change,burning in fingers,1.0,1
pains at every weather change,limbs go to sleep,1.0,1
pains at every weather change,burning in bones,1.0,1
pains at every weather change,heartburn very persistent,1.0,1
pains at every weather change,thigh stitches passing downward when walking,1.0,1
pains at every weather change,stiffness of nape,1.0,1
pains at every weather change,paralytic weakness of right shoulder,1.0,1
pains at every weather change,great inclination to stretch limbs in evening,1.0,1
pains at every weather change,stitches in thigh,1.0,1
pains at every weather change,limbs are bruised,1.0,1
pains at every weather change,severe nosebleed almost daily,1.0,1
pains at every weather change,toes red,1.0,1
pains at every weather change,hip pain extending to thigh,1.0,1
pains at every weather change,painful sensation as if hat band were too tight,1.0,1
pains at every weather change,tearing in fingers of left hand,1.0,1
pains at every weather change,bone pain painful on pressure,1.0,1
pains at every weather change,complementary with kali carb.,1.0,1
aching along spine,burning in limbs,1.0,1
aching along spine,rheumatic drawing from loins to coccyx,1.0,1
aching along spine,drawing tearing in left arm from elbow to hand,1.0,1
aching along spine,hip pain extending to sacrum,1.0,1
aching along spine,prickling stitches in fingers,1.0,1
aching along spine,toes swollen,1.0,1
aching along spine,hand pain worse in windy weather,1.0,1
aching along spine,shoulder pain worse in morning,1.0,1
aching along spine,tension in thigh in morning,1.0,1
aching along spine,pains when beginning to walk,1.0,1
aching along spine,prostrated with rheumatic pains,1.0,1
aching along spine,great hoarseness,1.0,1
aching along spine,drawing in limbs,1.0,1
aching along spine,sense of constriction in thigh,1.0,1
aching along spine,elbow pain worse by touch,1.0,1
aching along spine,tearing in right thigh,1.0,1
aching along spine,burning about scapulae,1.0,1
aching along spine,cold limbs,1.0,1
aching along spine,left thigh pain when lifting it,1.0,1
aching along spine,stitches in ankle joint,1.0,1
aching along spine,paralytic weakness of right arm,1.0,1
aching along spine,cramps in calves at night,1.0,1
aching along spine,stiffness of thigh on standing,1.0,1
aching along spine,tearing in either wrist,1.0,1
aching along spine,pain in scapular region,1.0,1
aching along spine,patients with lost vital forces from fluid loss,1.0,1
aching along spine,back pain worse on stooping,1.0,1
aching along spine,burning in joints of fingers,1.0,1
aching along spine,cramp-like tension in shoulders,1.0,1
aching along spine,drawing pain in nape up into head,1.0,1
aching along spine,unable to sit,1.0,1
aching along spine,cramps in lower leg when walking,1.0,1
aching along spine,limbs go to sleep easily,1.0,1
aching along spine,leg stiffness especially on first beginning to walk,1.0,1
aching along spine,paralytic pains in knees,1.0,1
aching along spine,drawing pain in hip joints,1.0,1
aching along spine,hat band sensation remains after hat removed,1.0,1
aching along spine,bruised pain in elbow joints,1.0,1
aching along spine,stiffness of back,1.0,1
aching along spine,aching pain from loins to coccyx,1.0,1
aching along spine,cramps in soles evenings after lying down,1.0,1
aching along spine,burning on scapula,1.0,1
aching along spine,boring in joints of fingers,1.0,1
aching along spine,fingers drawn out of shape,1.0,1
aching along spine,drawing in shafts of bones,1.0,1
aching along spine,drawing pain in back,1.0,1
aching along spine,drawing in joints of fingers,1.0,1
aching along spine,burning about hips,1.0,1
aching along spine,stitches in right great toe,1.0,1
aching along spine,pinching pressing pain in lower spine,1.0,1
aching along spine,tearing beneath hip,1.0,1
aching along spine,spine is bent,1.0,1
aching along spine,toe pain worse when walking,1.0,1
aching along spine,pressing pain beneath coccyx,1.0,1
aching along spine,roughness of voice,1.0,1
aching along spine,tension in knees on waking,1.0,1
aching along spine,boring in fingers,1.0,1
aching along spine,burning in thigh,1.0,1
aching along spine,rheumatic drawing in back,1.0,1
aching along spine,stitches in patella on rising,1.0,1
aching along spine,burning on right shoulder,1.0,1
aching along spine,toes stinging,1.0,1
aching along spine,drawing rheumatic pains in right shoulder,1.0,1
aching along spine,tearing in hip,1.0,1
aching along spine,voice almost fails at times,1.0,1
aching along spine,sensation as if tendons of wrist were shortened,1.0,1
aching along spine,pains at every weather change,1.0,1
aching along spine,sensation of stiffness in legs after sleep in evening,1.0,1
aching along spine,prickling stitches in joints of fingers,1.0,1
aching along spine,cold knees,1.0,1
aching along spine,shoulder pain worse from motion,1.0,1
aching along spine,tearing in right hip,1.0,1
aching along spine,drawing in arm on which he lies at night,1.0,1
aching along spine,boring pains in limbs,1.0,1
aching along spine,pressing cramp-like pain in small of back,1.0,1
aching along spine,stitches in shoulders,1.0,1
aching along spine,lancinating pain in wrists when grasping,1.0,1
aching along spine,sensation of plug in back,1.0,1
aching along spine,sensation as if tendons of hand were shortened,1.0,1
aching along spine,sprained pain in right hand,1.0,1
aching along spine,back pain worse on sitting,1.0,1
aching along spine,drawing in thigh,1.0,1
aching along spine,lack of strength in knees,1.0,1
aching along spine,cramp-like pain on outside of left thigh,1.0,1
aching along spine,knees go to sleep,1.0,1
aching along spine,pain in joints of hands,1.0,1
aching along spine,drawing pain from abdomen down into leg,1.0,1
aching along spine,great depression of vital forces,1.0,1
aching along spine,arms weary when writing,1.0,1
aching along spine,burning in fingers,1.0,1
aching along spine,limbs go to sleep,1.0,1
aching along spine,burning in bones,1.0,1
aching along spine,heartburn very persistent,1.0,1
aching along spine,thigh stitches passing downward when walking,1.0,1
aching along spine,stiffness of nape,1.0,1
aching along spine,paralytic weakness of right shoulder,1.0,1
aching along spine,great inclination to stretch limbs in evening,1.0,1
aching along spine,stitches in thigh,1.0,1
aching along spine,limbs are bruised,1.0,1
aching along spine,severe nosebleed almost daily,1.0,1
aching along spine,toes red,1.0,1
aching along spine,hip pain extending to thigh,1.0,1
aching along spine,painful sensation as if hat band were too tight,1.0,1
aching along spine,tearing in fingers of left hand,1.0,1
aching along spine,bone pain painful on pressure,1.0,1
aching along spine,complementary with kali carb.,1.0,1
stitches in patella on rising,burning in limbs,1.0,1
stitches in patella on rising,rheumatic drawing from loins to coccyx,1.0,1
stitches in patella on rising,drawing tearing in left arm from elbow to hand,1.0,1
stitches in patella on rising,hip pain extending to sacrum,1.0,1
stitches in patella on rising,prickling stitches in fingers,1.0,1
stitches in patella on rising,toes swollen,1.0,1
stitches in patella on rising,hand pain worse in windy weather,1.0,1
stitches in patella on rising,shoulder pain worse in morning,1.0,1
stitches in patella on rising,tension in thigh in morning,1.0,1
stitches in patella on rising,pains when beginning to walk,1.0,1
stitches in patella on rising,prostrated with rheumatic pains,1.0,1
stitches in patella on rising,great hoarseness,1.0,1
stitches in patella on rising,drawing in limbs,1.0,1
stitches in patella on rising,sense of constriction in thigh,1.0,1
stitches in patella on rising,elbow pain worse by touch,1.0,1
stitches in patella on rising,tearing in right thigh,1.0,1
stitches in patella on rising,burning about scapulae,1.0,1
stitches in patella on rising,cold limbs,1.0,1
stitches in patella on rising,left thigh pain when lifting it,1.0,1
stitches in patella on rising,stitches in ankle joint,1.0,1
stitches in patella on rising,paralytic weakness of right arm,1.0,1
stitches in patella on rising,cramps in calves at night,1.0,1
stitches in patella on rising,stiffness of thigh on standing,1.0,1
stitches in patella on rising,tearing in either wrist,1.0,1
